"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"16/12/2021","29,83","29,83","2,30","29,20","29,89","276,49M"
"15/12/2021","29,17","29,16","-0,55","28,27","29,59","363,25M"
"14/12/2021","30,10","29,32","-0,48","29,00","30,28","297,75M"
"13/12/2021","29,81","29,46","-0,44","29,10","30,45","285,28M"
"10/12/2021","29,24","29,59","2,21","29,24","29,89","331,97M"
"09/12/2021","28,69","28,95","0,07","28,19","29,20","220,51M"
"08/12/2021","28,93","28,93","-0,07","28,76","29,40","309,18M"
"07/12/2021","29,30","28,95","1,58","28,75","29,70","380,85M"
"06/12/2021","28,57","28,50","2,33","28,33","29,01","341,69M"
"03/12/2021","27,76","27,85","0,69","27,53","28,59","404,81M"
"02/12/2021","26,51","27,66","5,69","26,43","27,73","360,06M"
"01/12/2021","26,40","26,17","1,43","26,17","27,24","458,15M"
"30/11/2021","25,79","25,80","0,00","25,33","26,55","622,97M"
"29/11/2021","26,21","25,80","0,98","25,80","26,58","228,61M"
"26/11/2021","25,42","25,55","-2,63","25,11","25,77","245,23M"
"25/11/2021","25,96","26,24","0,92","25,75","26,65","235,48M"
"24/11/2021","25,52","26,00","1,64","25,30","26,13","325,67M"
"23/11/2021","26,30","25,58","0,59","25,28","27,35","403,69M"
"22/11/2021","25,38","25,43","2,58","24,94","25,72","305,29M"
"19/11/2021","24,64","24,79","2,10","24,35","25,00","315,89M"
"18/11/2021","25,25","24,28","-4,11","24,28","25,28","284,69M"
"17/11/2021","25,78","25,32","-0,47","25,15","26,06","305,97M"
"16/11/2021","25,60","25,44","0,16","25,08","25,67","254,98M"
"12/11/2021","24,92","25,40","1,15","24,85","25,79","353,61M"
"11/11/2021","24,45","25,11","5,99","24,45","25,42","487,99M"
"10/11/2021","23,70","23,69","-1,25","23,30","24,13","274,79M"
"09/11/2021","23,75","23,99","0,80","23,35","24,33","401,06M"
"08/11/2021","23,36","23,80","3,92","23,14","24,27","370,27M"
"05/11/2021","23,96","22,90","-4,00","22,83","24,04","323,31M"
"04/11/2021","23,79","23,85","-0,08","23,64","24,35","347,72M"
"03/11/2021","24,52","23,87","-3,95","23,87","24,77","431,91M"
"01/11/2021","n/d","24,85","-1,12","24,44","25,55","250,80M"
"29/10/2021","25,32","25,13","-1,82","24,85","25,70","247,61M"
"28/10/2021","25,50","25,60","0,18","25,19","25,89","383,54M"
"27/10/2021","26,96","25,56","-2,50","25,45","27,17","737,48M"
"26/10/2021","25,88","26,21","0,32","25,70","26,34","520,57M"
"25/10/2021","25,24","26,13","4,60","25,13","26,38","290,08M"
"22/10/2021","24,54","24,98","0,64","24,43","25,27","376,14M"
"21/10/2021","24,85","24,82","-2,85","24,05","25,31","323,49M"
"20/10/2021","26,17","25,55","-1,76","25,36","26,21","242,43M"
"19/10/2021","26,18","26,00","-1,24","25,80","26,72","395,73M"
"18/10/2021","25,82","26,33","0,07","25,58","26,46","365,39M"
"15/10/2021","26,56","26,31","0,00","26,04","26,56","239,31M"
"14/10/2021","26,14","26,31","1,92","25,72","26,56","503,78M"
"13/10/2021","25,02","25,82","1,69","24,88","26,17","309,20M"
"11/10/2021","25,96","25,39","-0,04","25,28","26,43","384,87M"
"08/10/2021","25,74","25,40","1,08","25,38","26,00","243,56M"
"07/10/2021","24,79","25,13","1,63","24,58","25,64","339,04M"
"06/10/2021","25,02","24,72","-2,00","24,29","25,31","348,59M"
"05/10/2021","25,65","25,23","-0,52","25,16","25,81","207,45M"